run_num,seed,topic1_cosim_T500,topic2_cosim_T500,topic3_cosim_T500,ever_sme_t1,ever_sme_t2,ever_sme_t3,min_ever_sme,max_top_holder,diversity_regime,converged,t_conv
15,1,0.9955,0.9956,0.4568,26,28,25,25,0.4571,0,1,NA
16,7,0.9967,0.9968,0.9526,30,29,30,29,0.4192,0,1,NA
17,13,0.9955,0.2360,0.9666,27,26,24,24,0.7106,0,1,NA
18,21,0.2644,0.1906,0.3527,28,28,27,27,0.4571,1,0,NA
19,42,0.8050,0.1271,0.2083,27,29,25,25,0.9042,0,0,NA
20,77,0.2212,0.9970,0.7897,28,30,25,25,0.8762,0,1,NA
21,99,0.9967,0.9957,0.3635,28,29,24,24,0.7086,0,1,NA
22,123,0.2021,0.9034,0.6177,26,28,25,25,0.6727,0,0,NA
23,256,0.9971,0.9963,0.9968,29,30,29,29,0.4571,0,1,371
