run_num,D,T,snap_0.10_T1,snap_0.10_T2,snap_0.10_T3,snap_0.25_T1,snap_0.25_T2,snap_0.25_T3,snap_0.50_T1,snap_0.50_T2,snap_0.50_T3,snap_0.75_T1,snap_0.75_T2,snap_0.75_T3,snap_1.00_T1,snap_1.00_T2,snap_1.00_T3,t_conv_T1,t_conv_T2,t_conv_T3,ever_sme_T1,ever_sme_T2,ever_sme_T3,min_ever_sme,max_top_holder
55,1,500,-0.0299,-0.0299,0.0069,-0.0299,-0.0299,0.0069,-0.0299,-0.0299,0.0069,-0.0299,-0.0299,0.0069,-0.0299,-0.0299,0.0069,NA,NA,NA,24,27,24,24,1.0000
56,2,2000,0.7507,0.0175,0.0289,0.7867,0.0235,0.0363,0.8729,0.0100,0.0187,0.8848,0.0239,0.0202,0.8840,0.0433,0.0774,NA,NA,NA,30,30,29,29,0.2729
