run_num,seed,T1_t500,T2_t500,T3_t500,T1_t1000,T2_t1000,T3_t1000,T1_t2000,T2_t2000,T3_t2000,T1_t5000,T2_t5000,T3_t5000,min_ever_sme,max_top_holder,diversity_regime,converged,t_conv
51,21,0.2644,0.1906,0.3527,0.3188,0.2041,0.4148,0.9966,0.2043,0.2723,0.9961,0.9965,0.9964,30,0.3863,0,1,4518
52,42,0.8050,0.1271,0.2083,0.8287,0.1710,0.2480,0.9971,0.1753,0.1274,0.9956,0.2107,0.2770,30,0.5947,0,1,NA
53,123,0.2021,0.9034,0.6177,0.2361,0.8850,0.6147,0.9954,0.9972,0.7769,0.9965,0.9961,0.7487,30,0.6163,0,1,NA
